,Commune,Année,Voitures_electriques_par_borne,Consommation_electrique_annuelle_MWh_par_habitant,Production_electrique_renouvelable_annuelle_MWh_par_habitant
503,Troinex,2024-02-29,34.5,3.1075,0.2615
504,Troinex,2024-03-31,35.0,3.1075,0.2705
505,Troinex,2024-04-30,36.5,3.1495,0.28
506,Troinex,2024-05-31,38.5,3.1314,0.3321
507,Troinex,2024-06-30,39.0,3.1273,0.3321
508,Troinex,2024-07-31,40.0,3.1273,0.3321
509,Troinex,2024-08-31,40.0,3.0725,0.431
510,Troinex,2024-09-30,41.5,3.2005,0.4616
511,Troinex,2024-12-31,46.5,3.313,0.511
512,Troinex,2025-01-31,46.5,3.3832,0.5125
513,Troinex,2025-02-28,51.0,3.0193,0.5189
514,Troinex,2025-03-31,51.0,2.9895,0.5153
515,Vandoeuvres,2023-11-30,25.0,3.7733,0.1726
516,Vandoeuvres,2023-12-31,24.8,3.7527,0.1733
517,Vandoeuvres,2024-01-31,24.3,3.7428,0.1752
518,Vandoeuvres,2024-02-29,24.8,3.7461,0.1762
519,Vandoeuvres,2024-03-31,26.0,3.7461,0.1752
520,Vandoeuvres,2024-04-30,26.0,3.7409,0.2083
521,Vandoeuvres,2024-05-31,26.0,3.7267,0.2211
522,Vandoeuvres,2024-06-30,26.0,3.7224,0.2211
523,Vandoeuvres,2024-07-31,26.8,3.7224,0.2211
524,Vandoeuvres,2024-08-31,26.8,3.4331,0.2307
525,Vandoeuvres,2024-09-30,27.0,3.8559,0.2834
526,Vandoeuvres,2024-10-31,28.3,3.8667,0.2857
527,Vandoeuvres,2024-11-30,29.0,3.8793,0.3022
528,Vandoeuvres,2024-12-31,29.8,3.8697,0.3114
529,Vandoeuvres,2025-01-31,29.8,3.9086,0.3134
530,Vandoeuvres,2025-02-28,29.8,3.4486,0.3213
531,Vandoeuvres,2025-03-31,30.3,3.33,0.3106
532,Vernier,2023-11-30,3.2,4.0451,0.257
533,Vernier,2023-12-31,2.3,4.0289,0.2567
534,Vernier,2024-01-31,3.0,4.2954,0.2588
535,Vernier,2024-02-29,2.4,4.1632,0.2597
536,Vernier,2024-03-31,2.5,4.1632,0.2564
537,Vernier,2024-04-30,2.4,3.9582,0.3369
538,Vernier,2024-05-31,2.7,3.9471,0.3402
539,Vernier,2024-06-30,2.7,3.9456,0.3402
540,Vernier,2024-07-31,2.8,3.9456,0.3402
541,Vernier,2024-08-31,2.8,3.9402,0.3426
542,Vernier,2024-09-30,2.7,3.8535,0.3571
543,Vernier,2024-10-31,3.0,3.8596,0.3561
544,Vernier,2024-11-30,3.0,3.8638,0.3565
545,Vernier,2024-12-31,2.8,3.8734,0.3589
546,Vernier,2025-01-31,2.8,3.8991,0.3564
547,Vernier,2025-02-28,2.9,3.4615,0.3591
548,Vernier,2025-03-31,2.8,3.4254,0.3525
549,Versoix,2023-11-30,3.2,2.6213,0.1427
550,Versoix,2023-12-31,3.3,2.6137,0.1427
551,Versoix,2024-01-31,3.4,2.6259,0.1441
552,Versoix,2024-02-29,3.4,2.6328,0.1447
553,Versoix,2024-03-31,3.4,2.6328,0.1435
554,Versoix,2024-04-30,3.4,2.6319,0.145
555,Versoix,2024-05-31,3.5,2.6224,0.1506
556,Versoix,2024-06-30,3.6,2.6228,0.1506
557,Versoix,2024-07-31,4.9,2.6228,0.1506
558,Versoix,2024-08-31,4.9,2.6487,0.1597
559,Versoix,2024-09-30,4.6,2.7099,0.1662
560,Versoix,2024-10-31,3.7,2.7047,0.1667
561,Versoix,2024-11-30,3.8,2.712,0.1655
562,Versoix,2024-12-31,3.9,2.7387,0.1667
563,Versoix,2025-01-31,4.5,2.7633,0.1669
564,Versoix,2025-02-28,4.5,2.448,0.1691
565,Versoix,2025-03-31,4.2,2.4533,0.1683
566,Veyrier,2023-11-30,42.6,2.5288,0.4412
567,Veyrier,2023-12-31,36.8,2.5191,0.4503
568,Veyrier,2024-01-31,39.3,2.5219,0.459
569,Veyrier,2024-02-29,40.8,2.5269,0.4647
570,Veyrier,2024-03-31,42.7,2.5269,0.472
571,Veyrier,2024-04-30,43.3,2.5103,0.482
572,Veyrier,2024-05-31,33.0,2.501,0.5088
573,Veyrier,2024-06-30,33.1,2.4981,0.5088
574,Veyrier,2024-07-31,26.8,2.4981,0.5088
575,Veyrier,2024-08-31,26.8,2.4849,0.565
576,Veyrier,2024-09-30,34.4,2.5416,0.5827
577,Veyrier,2024-10-31,35.4,2.5388,0.5864
578,Veyrier,2024-11-30,36.0,2.5447,0.5953
579,Veyrier,2024-12-31,36.6,2.5535,0.5982
580,Veyrier,2025-01-31,48.8,2.6138,0.5973
581,Veyrier,2025-02-28,43.6,2.3159,0.6008
582,Veyrier,2025-03-31,38.4,2.3037,0.5918
