,Commune,Année,Nombre_de_logements
376,Gy,2017,-
377,Gy,2018,-
378,Gy,2019,-
379,Gy,2020,-
380,Gy,2021,-
381,Gy,2022,-
382,Gy,2023,-
383,Gy,2024,-
384,Hermance,2009,4
385,Hermance,2010,4
386,Hermance,2011,4
387,Hermance,2012,4
388,Hermance,2013,-
389,Hermance,2014,-
390,Hermance,2015,-
391,Hermance,2016,-
392,Hermance,2017,-
393,Hermance,2018,-
394,Hermance,2019,-
395,Hermance,2020,-
396,Hermance,2021,-
397,Hermance,2022,-
398,Hermance,2023,-
399,Hermance,2024,-
400,Jussy,2009,14
401,Jussy,2010,14
402,Jussy,2011,14
403,Jussy,2012,14
404,Jussy,2013,14
405,Jussy,2014,-
406,Jussy,2015,-
407,Jussy,2016,-
408,Jussy,2017,-
409,Jussy,2018,-
410,Jussy,2019,-
411,Jussy,2020,-
412,Jussy,2021,-
413,Jussy,2022,-
414,Jussy,2023,-
415,Jussy,2024,-
416,Laconnex,2009,-
417,Laconnex,2010,-
418,Laconnex,2011,-
419,Laconnex,2012,-
420,Laconnex,2013,-
421,Laconnex,2014,-
422,Laconnex,2015,-
423,Laconnex,2016,-
424,Laconnex,2017,-
425,Laconnex,2018,-
426,Laconnex,2019,-
427,Laconnex,2020,-
428,Laconnex,2021,-
429,Laconnex,2022,-
430,Laconnex,2023,-
431,Laconnex,2024,-
432,Lancy,2009,1508
433,Lancy,2010,1528
434,Lancy,2011,1445
435,Lancy,2012,1502
436,Lancy,2013,1651
437,Lancy,2014,1839
438,Lancy,2015,1687
439,Lancy,2016,1512
440,Lancy,2017,1635
441,Lancy,2018,1615
442,Lancy,2019,1661
443,Lancy,2020,2001
444,Lancy,2021,2169
445,Lancy,2022,2294
446,Lancy,2023,2484
447,Lancy,2024,2484
448,Meinier,2009,24
449,Meinier,2010,24
450,Meinier,2011,24
451,Meinier,2012,62
452,Meinier,2013,44
453,Meinier,2014,44
454,Meinier,2015,44
455,Meinier,2016,44
456,Meinier,2017,44
457,Meinier,2018,38
458,Meinier,2019,38
459,Meinier,2020,38
460,Meinier,2021,38
461,Meinier,2022,38
462,Meinier,2023,38
463,Meinier,2024,38
464,Meyrin,2009,494
465,Meyrin,2010,470
466,Meyrin,2011,470
467,Meyrin,2012,448
468,Meyrin,2013,448
469,Meyrin,2014,420
470,Meyrin,2015,507
471,Meyrin,2016,614
472,Meyrin,2017,767
473,Meyrin,2018,1100
474,Meyrin,2019,1212
475,Meyrin,2020,1333
476,Meyrin,2021,1411
477,Meyrin,2022,1379
478,Meyrin,2023,1399
479,Meyrin,2024,1400
480,Onex,2009,1161
481,Onex,2010,1061
482,Onex,2011,982
483,Onex,2012,894
484,Onex,2013,979
485,Onex,2014,987
486,Onex,2015,953
487,Onex,2016,954
488,Onex,2017,954
489,Onex,2018,954
490,Onex,2019,929
491,Onex,2020,940
492,Onex,2021,948
493,Onex,2022,948
494,Onex,2023,1016
495,Onex,2024,969
496,Perly-Certoux,2009,105
497,Perly-Certoux,2010,73
498,Perly-Certoux,2011,73
499,Perly-Certoux,2012,73
500,Perly-Certoux,2013,62
501,Perly-Certoux,2014,62
502,Perly-Certoux,2015,62
503,Perly-Certoux,2016,62
504,Perly-Certoux,2017,85
505,Perly-Certoux,2018,85
506,Perly-Certoux,2019,85
507,Perly-Certoux,2020,102
508,Perly-Certoux,2021,102
509,Perly-Certoux,2022,102
510,Perly-Certoux,2023,102
511,Perly-Certoux,2024,118
512,Plan-les-Ouates,2009,571
513,Plan-les-Ouates,2010,432
514,Plan-les-Ouates,2011,473
515,Plan-les-Ouates,2012,488
516,Plan-les-Ouates,2013,620
517,Plan-les-Ouates,2014,619
518,Plan-les-Ouates,2015,620
519,Plan-les-Ouates,2016,517
520,Plan-les-Ouates,2017,517
521,Plan-les-Ouates,2018,517
522,Plan-les-Ouates,2019,517
523,Plan-les-Ouates,2020,732
524,Plan-les-Ouates,2021,689
525,Plan-les-Ouates,2022,691
526,Plan-les-Ouates,2023,655
527,Plan-les-Ouates,2024,590
528,Pregny-Chambésy,2009,23
529,Pregny-Chambésy,2010,23
530,Pregny-Chambésy,2011,23
531,Pregny-Chambésy,2012,23
532,Pregny-Chambésy,2013,12
533,Pregny-Chambésy,2014,-
534,Pregny-Chambésy,2015,-
535,Pregny-Chambésy,2016,-
536,Pregny-Chambésy,2017,-
537,Pregny-Chambésy,2018,-
538,Pregny-Chambésy,2019,-
539,Pregny-Chambésy,2020,-
540,Pregny-Chambésy,2021,-
541,Pregny-Chambésy,2022,-
542,Pregny-Chambésy,2023,-
543,Pregny-Chambésy,2024,-
544,Presinge,2009,18
545,Presinge,2010,18
546,Presinge,2011,18
547,Presinge,2012,18
