,Commune,Année,Population_nombre-hbt
202,Cartigny,2002,814.0
203,Cartigny,2003,836.0
204,Cartigny,2004,795.0
205,Cartigny,2005,834.0
206,Cartigny,2006,817.0
207,Cartigny,2007,808.0
208,Cartigny,2008,812.0
209,Cartigny,2009,832.0
210,Cartigny,2010,853.0
211,Cartigny,2011,884.0
212,Cartigny,2012,872.0
213,Cartigny,2013,859.0
214,Cartigny,2014,875.0
215,Cartigny,2015,863.0
216,Cartigny,2016,884.0
217,Cartigny,2017,950.0
218,Cartigny,2018,964.0
219,Cartigny,2019,983.0
220,Cartigny,2020,969.0
221,Cartigny,2021,1011.0
222,Cartigny,2022,1031.0
223,Cartigny,2023,1036.0
224,Cartigny,2024,1043.0
225,Chancy,2000,915.0
226,Chancy,2001,907.0
227,Chancy,2002,887.0
228,Chancy,2003,911.0
229,Chancy,2004,917.0
230,Chancy,2005,924.0
231,Chancy,2006,1023.0
232,Chancy,2007,1084.0
233,Chancy,2008,1115.0
234,Chancy,2009,1115.0
235,Chancy,2010,1147.0
236,Chancy,2011,1137.0
237,Chancy,2012,1139.0
238,Chancy,2013,1377.0
239,Chancy,2014,1521.0
240,Chancy,2015,1606.0
241,Chancy,2016,1644.0
242,Chancy,2017,1681.0
243,Chancy,2018,1682.0
244,Chancy,2019,1700.0
245,Chancy,2020,1702.0
246,Chancy,2021,1687.0
247,Chancy,2022,1653.0
248,Chancy,2023,1643.0
249,Chancy,2024,1652.0
250,Choulex,2000,948.0
251,Choulex,2001,964.0
252,Choulex,2002,976.0
253,Choulex,2003,961.0
254,Choulex,2004,967.0
255,Choulex,2005,965.0
256,Choulex,2006,965.0
257,Choulex,2007,1007.0
258,Choulex,2008,997.0
259,Choulex,2009,999.0
260,Choulex,2010,1023.0
261,Choulex,2011,1067.0
262,Choulex,2012,1087.0
263,Choulex,2013,1067.0
264,Choulex,2014,1118.0
265,Choulex,2015,1155.0
266,Choulex,2016,1126.0
267,Choulex,2017,1160.0
268,Choulex,2018,1188.0
269,Choulex,2019,1199.0
270,Choulex,2020,1191.0
271,Choulex,2021,1207.0
272,Choulex,2022,1239.0
273,Choulex,2023,1260.0
274,Choulex,2024,1251.0
275,Chêne-Bougeries,2000,9739.0
276,Chêne-Bougeries,2001,9764.0
277,Chêne-Bougeries,2002,9846.0
278,Chêne-Bougeries,2003,9943.0
279,Chêne-Bougeries,2004,10091.0
280,Chêne-Bougeries,2005,10144.0
281,Chêne-Bougeries,2006,10189.0
282,Chêne-Bougeries,2007,10148.0
283,Chêne-Bougeries,2008,10293.0
