,Commune,Année,prix_m2_marche_libre_Mediane
131,Grand-Saconnex,2012,9381.0
132,Grand-Saconnex,2013,9028.0
133,Grand-Saconnex,2014,10208.0
134,Grand-Saconnex,2015,8962.0
135,Grand-Saconnex,2016,7753.0
136,Grand-Saconnex,2017,9640.0
137,Grand-Saconnex,2018,9109.0
138,Grand-Saconnex,2019,9254.0
139,Grand-Saconnex,2020,9856.0
140,Grand-Saconnex,2021,10370.0
141,Grand-Saconnex,2022,10554.0
142,Grand-Saconnex,2023,10295.0
143,Lancy,2011,7986.0
144,Lancy,2012,6176.0
145,Lancy,2013,6455.0
146,Lancy,2014,6675.0
147,Lancy,2015,6407.0
148,Lancy,2016,6098.0
149,Lancy,2017,7076.0
150,Lancy,2018,7237.0
151,Lancy,2019,8312.0
152,Lancy,2020,8267.0
153,Lancy,2021,9042.0
154,Lancy,2022,9039.0
155,Lancy,2023,7928.0
156,Meyrin,2011,6945.0
157,Meyrin,2012,7407.0
158,Meyrin,2013,6250.0
159,Meyrin,2014,7369.0
160,Meyrin,2015,7802.0
161,Meyrin,2016,6035.0
162,Meyrin,2017,5592.0
163,Meyrin,2018,6505.0
164,Meyrin,2019,7415.0
165,Meyrin,2020,7859.0
166,Meyrin,2021,7708.0
167,Meyrin,2022,7531.0
168,Meyrin,2023,8187.0
234,Moyenne,2011,8058.944444444444
235,Moyenne,2012,8585.0
236,Moyenne,2013,8465.277777777777
237,Moyenne,2014,7913.333333333333
238,Moyenne,2015,7953.529411764706
239,Moyenne,2016,7582.0
240,Moyenne,2017,7815.722222222223
241,Moyenne,2018,7919.5
242,Moyenne,2019,8621.111111111111
243,Moyenne,2020,8846.777777777777
244,Moyenne,2021,9087.666666666666
245,Moyenne,2022,9580.666666666666
246,Moyenne,2023,9443.888888888889
169,Plan-les-Ouates,2011,6852.0
170,Plan-les-Ouates,2012,9503.0
171,Plan-les-Ouates,2013,8264.0
172,Plan-les-Ouates,2014,8139.0
173,Plan-les-Ouates,2015,6399.0
174,Plan-les-Ouates,2016,7900.0
175,Plan-les-Ouates,2017,8166.0
176,Plan-les-Ouates,2018,7833.0
177,Plan-les-Ouates,2019,9103.0
178,Plan-les-Ouates,2020,8575.0
179,Plan-les-Ouates,2021,5469.0
180,Plan-les-Ouates,2022,9597.0
181,Plan-les-Ouates,2023,9376.0
182,Thônex,2011,7344.0
183,Thônex,2012,6378.0
184,Thônex,2013,8091.0
185,Thônex,2014,7715.0
186,Thônex,2015,7611.0
187,Thônex,2016,7246.0
188,Thônex,2017,7017.0
189,Thônex,2018,7642.0
190,Thônex,2019,7186.0
191,Thônex,2020,7211.0
192,Thônex,2021,7376.0
193,Thônex,2022,7040.0
194,Thônex,2023,8673.0
195,Vernier,2011,6116.0
196,Vernier,2012,6379.0
197,Vernier,2013,6531.0
198,Vernier,2014,5684.0
199,Vernier,2015,8144.0
200,Vernier,2016,6087.0
201,Vernier,2017,6250.0
202,Vernier,2018,7780.0
203,Vernier,2019,7240.0
204,Vernier,2020,7197.0
205,Vernier,2021,7263.0
206,Vernier,2022,6874.0
207,Vernier,2023,6585.0
208,Versoix,2011,7154.0
209,Versoix,2012,7457.0
210,Versoix,2013,7116.0
211,Versoix,2014,7576.0
212,Versoix,2015,7579.0
213,Versoix,2016,7252.0
214,Versoix,2017,7446.0
215,Versoix,2018,6757.0
216,Versoix,2019,7795.0
217,Versoix,2020,8618.0
218,Versoix,2021,8462.0
219,Versoix,2022,9466.0
220,Versoix,2023,8439.0
221,Veyrier,2011,7831.0
222,Veyrier,2012,10177.0
223,Veyrier,2013,9235.0
224,Veyrier,2014,8587.0
225,Veyrier,2015,8759.0
226,Veyrier,2016,8316.0
227,Veyrier,2017,8112.0
228,Veyrier,2018,8471.0
229,Veyrier,2019,9390.0
230,Veyrier,2020,8807.0
231,Veyrier,2021,10658.0
232,Veyrier,2022,10153.0
233,Veyrier,2023,10690.0
