,Commune,Année,electric_cars_per_charging_spot,elec_consumption_mwh_per_year_per_capita,renelec_production_mwh_per_year_per_capita
102112,Satigny,2024-02-29,6.6,22.2834,2.8065
102113,Satigny,2024-03-31,8.1,22.2834,2.825
102114,Satigny,2024-04-30,8.5,21.8755,2.795
102115,Satigny,2024-05-31,9.4,21.8207,2.8546
102116,Satigny,2024-06-30,10.0,21.8308,2.8546
102117,Satigny,2024-07-31,10.4,21.8308,2.8546
102118,Satigny,2024-08-31,10.4,21.8452,3.1413
102119,Satigny,2024-09-30,10.4,20.7666,3.3535
102120,Satigny,2024-10-31,6.3,20.7111,3.3365
102121,Satigny,2024-11-30,10.9,20.7801,3.3358
102122,Satigny,2024-12-31,11.1,20.8677,3.3284
102123,Satigny,2025-01-31,11.1,20.7913,3.35
102124,Satigny,2025-02-28,10.9,18.4631,3.4799
102125,Satigny,2025-03-31,10.7,18.2249,3.4212
102207,Thônex,2023-11-30,4.1,3.5152,0.254
102208,Thônex,2023-12-31,4.1,3.4979,0.2544
102209,Thônex,2024-01-31,5.0,3.5398,0.2568
102210,Thônex,2024-02-29,3.8,3.5533,0.258
102211,Thônex,2024-03-31,3.9,3.5533,0.2557
102212,Thônex,2024-04-30,4.8,3.1749,0.2404
102213,Thônex,2024-05-31,4.9,3.1793,0.251
102214,Thônex,2024-06-30,5.0,3.1825,0.251
102215,Thônex,2024-07-31,5.5,3.1825,0.251
102216,Thônex,2024-08-31,5.5,3.1543,0.263
102217,Thônex,2024-09-30,4.6,3.1569,0.2716
102218,Thônex,2024-10-31,4.6,3.1523,0.2918
102219,Thônex,2024-11-30,4.6,3.1621,0.2944
102220,Thônex,2024-12-31,4.3,3.1872,0.2991
102221,Thônex,2025-01-31,4.3,3.2178,0.3063
102222,Thônex,2025-02-28,4.4,2.8529,0.3103
102223,Thônex,2025-03-31,4.5,2.7695,0.2999
102257,Troinex,2023-12-31,32.5,2.968,0.2492
102258,Troinex,2024-01-31,34.5,2.9743,0.2555
102259,Troinex,2024-02-29,34.5,3.1075,0.2615
102260,Troinex,2024-03-31,35.0,3.1075,0.2705
102261,Troinex,2024-04-30,36.5,3.1495,0.28
102262,Troinex,2024-05-31,38.5,3.1314,0.3321
102263,Troinex,2024-06-30,39.0,3.1273,0.3321
102264,Troinex,2024-07-31,40.0,3.1273,0.3321
102265,Troinex,2024-08-31,40.0,3.0725,0.431
102266,Troinex,2024-09-30,41.5,3.2005,0.4616
102269,Troinex,2024-12-31,46.5,3.313,0.511
102270,Troinex,2025-01-31,46.5,3.3832,0.5125
102271,Troinex,2025-02-28,51.0,3.0193,0.5189
102272,Troinex,2025-03-31,51.0,2.9895,0.5153
102305,Vandoeuvres,2023-11-30,25.0,3.7733,0.1726
102306,Vandoeuvres,2023-12-31,24.8,3.7527,0.1733
102307,Vandoeuvres,2024-01-31,24.3,3.7428,0.1752
102308,Vandoeuvres,2024-02-29,24.8,3.7461,0.1762
102309,Vandoeuvres,2024-03-31,26.0,3.7461,0.1752
102310,Vandoeuvres,2024-04-30,26.0,3.7409,0.2083
102311,Vandoeuvres,2024-05-31,26.0,3.7267,0.2211
102312,Vandoeuvres,2024-06-30,26.0,3.7224,0.2211
102313,Vandoeuvres,2024-07-31,26.8,3.7224,0.2211
102314,Vandoeuvres,2024-08-31,26.8,3.4331,0.2307
102315,Vandoeuvres,2024-09-30,27.0,3.8559,0.2834
102316,Vandoeuvres,2024-10-31,28.3,3.8667,0.2857
102317,Vandoeuvres,2024-11-30,29.0,3.8793,0.3022
102318,Vandoeuvres,2024-12-31,29.8,3.8697,0.3114
102319,Vandoeuvres,2025-01-31,29.8,3.9086,0.3134
102320,Vandoeuvres,2025-02-28,29.8,3.4486,0.3213
102321,Vandoeuvres,2025-03-31,30.3,3.33,0.3106
102354,Vernier,2023-11-30,3.2,4.0451,0.257
102355,Vernier,2023-12-31,2.3,4.0289,0.2567
102356,Vernier,2024-01-31,3.0,4.2954,0.2588
102357,Vernier,2024-02-29,2.4,4.1632,0.2597
102358,Vernier,2024-03-31,2.5,4.1632,0.2564
102359,Vernier,2024-04-30,2.4,3.9582,0.3369
102360,Vernier,2024-05-31,2.7,3.9471,0.3402
102361,Vernier,2024-06-30,2.7,3.9456,0.3402
102362,Vernier,2024-07-31,2.8,3.9456,0.3402
102363,Vernier,2024-08-31,2.8,3.9402,0.3426
102364,Vernier,2024-09-30,2.7,3.8535,0.3571
102365,Vernier,2024-10-31,3.0,3.8596,0.3561
102366,Vernier,2024-11-30,3.0,3.8638,0.3565
102367,Vernier,2024-12-31,2.8,3.8734,0.3589
102368,Vernier,2025-01-31,2.8,3.8991,0.3564
102369,Vernier,2025-02-28,2.9,3.4615,0.3591
102370,Vernier,2025-03-31,2.8,3.4254,0.3525
102403,Versoix,2023-11-30,3.2,2.6213,0.1427
102404,Versoix,2023-12-31,3.3,2.6137,0.1427
102405,Versoix,2024-01-31,3.4,2.6259,0.1441
102406,Versoix,2024-02-29,3.4,2.6328,0.1447
102407,Versoix,2024-03-31,3.4,2.6328,0.1435
102408,Versoix,2024-04-30,3.4,2.6319,0.145
102409,Versoix,2024-05-31,3.5,2.6224,0.1506
102410,Versoix,2024-06-30,3.6,2.6228,0.1506
102411,Versoix,2024-07-31,4.9,2.6228,0.1506
102412,Versoix,2024-08-31,4.9,2.6487,0.1597
102413,Versoix,2024-09-30,4.6,2.7099,0.1662
102414,Versoix,2024-10-31,3.7,2.7047,0.1667
102415,Versoix,2024-11-30,3.8,2.712,0.1655
102416,Versoix,2024-12-31,3.9,2.7387,0.1667
102417,Versoix,2025-01-31,4.5,2.7633,0.1669
102418,Versoix,2025-02-28,4.5,2.448,0.1691
102419,Versoix,2025-03-31,4.2,2.4533,0.1683
102452,Veyrier,2023-11-30,42.6,2.5288,0.4412
102453,Veyrier,2023-12-31,36.8,2.5191,0.4503
102454,Veyrier,2024-01-31,39.3,2.5219,0.459
102455,Veyrier,2024-02-29,40.8,2.5269,0.4647
102456,Veyrier,2024-03-31,42.7,2.5269,0.472
102457,Veyrier,2024-04-30,43.3,2.5103,0.482
102458,Veyrier,2024-05-31,33.0,2.501,0.5088
102459,Veyrier,2024-06-30,33.1,2.4981,0.5088
102460,Veyrier,2024-07-31,26.8,2.4981,0.5088
102461,Veyrier,2024-08-31,26.8,2.4849,0.565
102462,Veyrier,2024-09-30,34.4,2.5416,0.5827
102463,Veyrier,2024-10-31,35.4,2.5388,0.5864
102464,Veyrier,2024-11-30,36.0,2.5447,0.5953
102465,Veyrier,2024-12-31,36.6,2.5535,0.5982
102466,Veyrier,2025-01-31,48.8,2.6138,0.5973
102467,Veyrier,2025-02-28,43.6,2.3159,0.6008
102468,Veyrier,2025-03-31,38.4,2.3037,0.5918
