,Commune,Année,Nombre_de_logements
215,Collex-Bossy,2016,52.0
216,Collex-Bossy,2017,26.0
217,Collex-Bossy,2018,26.0
218,Collex-Bossy,2019,26.0
219,Collex-Bossy,2020,26.0
220,Collex-Bossy,2021,26.0
221,Collex-Bossy,2022,26.0
222,Collex-Bossy,2023,26.0
223,Collex-Bossy,2024,26.0
224,Collonge-Bellerive,2009,180.0
225,Collonge-Bellerive,2010,180.0
226,Collonge-Bellerive,2011,180.0
227,Collonge-Bellerive,2012,180.0
228,Collonge-Bellerive,2013,173.0
229,Collonge-Bellerive,2014,163.0
230,Collonge-Bellerive,2015,185.0
231,Collonge-Bellerive,2016,185.0
232,Collonge-Bellerive,2017,166.0
233,Collonge-Bellerive,2018,166.0
234,Collonge-Bellerive,2019,166.0
235,Collonge-Bellerive,2020,166.0
236,Collonge-Bellerive,2021,166.0
237,Collonge-Bellerive,2022,158.0
238,Collonge-Bellerive,2023,158.0
239,Collonge-Bellerive,2024,114.0
240,Cologny,2009,
241,Cologny,2010,
242,Cologny,2011,3.0
243,Cologny,2012,3.0
244,Cologny,2013,37.0
245,Cologny,2014,142.0
246,Cologny,2015,142.0
247,Cologny,2016,142.0
248,Cologny,2017,142.0
249,Cologny,2018,142.0
250,Cologny,2019,181.0
251,Cologny,2020,181.0
252,Cologny,2021,181.0
253,Cologny,2022,181.0
254,Cologny,2023,181.0
255,Cologny,2024,181.0
256,Confignon,2009,209.0
257,Confignon,2010,234.0
258,Confignon,2011,246.0
259,Confignon,2012,246.0
260,Confignon,2013,337.0
261,Confignon,2014,337.0
262,Confignon,2015,355.0
263,Confignon,2016,331.0
264,Confignon,2017,339.0
265,Confignon,2018,339.0
266,Confignon,2019,339.0
267,Confignon,2020,339.0
268,Confignon,2021,339.0
269,Confignon,2022,339.0
270,Confignon,2023,339.0
271,Confignon,2024,339.0
272,Corsier,2009,
273,Corsier,2010,
274,Corsier,2011,
275,Corsier,2012,
276,Corsier,2013,
277,Corsier,2014,
278,Corsier,2015,
279,Corsier,2016,
280,Corsier,2017,
281,Corsier,2018,
282,Corsier,2019,
283,Corsier,2020,
284,Corsier,2021,
285,Corsier,2022,
286,Corsier,2023,
287,Corsier,2024,
288,Céligny,2009,
289,Céligny,2010,
290,Céligny,2011,
291,Céligny,2012,
292,Céligny,2013,
293,Céligny,2014,
294,Céligny,2015,
295,Céligny,2016,28.0
296,Céligny,2017,28.0
297,Céligny,2018,28.0
298,Céligny,2019,28.0
299,Céligny,2020,28.0
300,Céligny,2021,28.0
301,Céligny,2022,28.0
302,Céligny,2023,28.0
303,Céligny,2024,28.0
304,Dardagny,2009,80.0
305,Dardagny,2010,80.0
306,Dardagny,2011,80.0
307,Dardagny,2012,42.0
308,Dardagny,2013,
309,Dardagny,2014,
310,Dardagny,2015,
311,Dardagny,2016,31.0
312,Dardagny,2017,31.0
313,Dardagny,2018,31.0
314,Dardagny,2019,31.0
